Spice ID                    GM [au^3/day^2]             x [au]                      y [au]                      z [au]                      vx [au/day]                 vy [au/day]                 vz [au/day]
2000185                     +1.1355858944839220E-15     -1.5868399111323572E+00     +2.2686960630830071E+00     +3.6756108126609788E-01     -8.8809225010109266E-03     -4.8134445539440539E-03     +1.3617396180582090E-03
2000014                     +1.1006456795750681E-15     -3.5138000926317031E-01     +2.2140680377004909E+00     +1.0462409534249446E+00     -1.0511122480214623E-02     -3.7429771678380215E-03     +1.7532415326155859E-04
2000536                     +1.0975631032822509E-15     -1.4420957647633541E+00     +2.4855574582733886E+00     +2.1643136171747259E+00     -8.0399689535331307E-03     -3.9021666172298522E-03     +2.9356150539206025E-04
2000009                     +1.0778410042407301E-15     -3.0368507539760287E-01     -2.4126017379443971E+00     -1.1175796017720452E+00     +9.7964516719081882E-03     -4.2781367233080933E-04     -1.1914702815588303E-03
2000165                     +1.0684599027046931E-15     +1.4111648475188667E+00     +2.4401121811165702E+00     +1.6553138124002207E+00     -7.9419730836116920E-03     +4.6592429690879827E-03     +1.1269363176731766E-03
2000019                     +1.0356448401311940E-15     -2.4599681327305314E+00     -1.2928784587596978E+00     -5.6273667369610580E-01     +4.5786055413255229E-03     -7.6281384819380993E-03     -3.0268346020753813E-03
2000130                     +9.9366295459092486E-16     -3.4405719488600326E+00     +7.3297651107646478E-01     +8.2329254393150764E-01     -2.9268634893930760E-03     -7.7896278090799345E-03     +8.5538788621810331E-05
2000128                     +9.6501295105487519E-16     +2.3841302832735947E+00     +2.4650109124040184E-01     -1.6603669408617391E-01     -1.1225471072932041E-03     +1.0546658080706643E-02     +5.0295133744231550E-03
2000187                     +9.4193644635953110E-16     -2.1715301620119418E+00     -7.2393055231294551E-02     +1.3162926792368110E-01     +1.4604640679123761E-03     -1.0603064177397360E-02     -7.0789520154478187E-03
2000041                     +9.3242237621988685E-16     +1.8090781566118166E+00     -1.7911985236576000E+00     -2.5638470461326007E-01     +9.6665886068449842E-03     +5.4777665819050357E-03     +6.5921284191072533E-04
2000532                     +9.3159485940656196E-16     +3.8339210054141398E-01     +2.6607326589623379E+00     +7.6911534940706305E-01     -9.8447019594727729E-03     -1.1836379312632492E-03     +2.4879414357702771E-03
2000085                     +9.2540854530185373E-16     +1.8973655819619502E+00     +1.4009709276951701E+00     +4.7039723139839418E-01     -5.3862388399900365E-03     +1.0078781735973021E-02     +1.7630915867555340E-03
2000444                     +9.0708048441145045E-16     -2.9288050211334489E+00     +1.3698428657344333E+00     +1.8280526829014865E-01     -4.1353539378360957E-03     -7.4281089215470922E-03     -2.0008419320421012E-03
2000702                     +8.8950672849270447E-16     -2.9295098806795825E+00     -1.6753972831944966E-01     -1.2896197224787145E+00     +2.4985801620029239E-03     -8.3913840187657563E-03     -3.9896872510075641E-03
2000137                     +8.5612605995538922E-16     -3.3107126048098454E+00     +1.6935071856791419E+00     +2.8588007465709650E-02     -2.7665904991415178E-03     -7.3426258141381893E-03     -1.6805962786482645E-03
2000471                     +8.4594307289596827E-16     +6.1064549358561915E-01     -2.6360371084527343E+00     -1.4108620051959229E+00     +8.3734772097485196E-03     +4.6192882127103797E-03     -3.0362718761326021E-04
2000045                     +8.4256780185679339E-16     -2.4292343172819324E+00     +9.8533415629910481E-01     +4.7241636119552366E-01     -3.5533961367810170E-03     -9.6470817817786471E-03     -2.8745835943339093E-03
2000006                     +8.3124192126733721E-16     +1.9124145459828568E-01     +2.0948133685404473E+00     +4.1841048244673185E-01     -1.1788948537013285E-02     +2.7118565403660838E-03     +2.6378012371058540E-03
2000076                     +8.3122000000000012E-16     +3.4114165235778420E+00     -1.0861467525866360E+00     -3.7127802567131130E-01     +1.4707108695771797E-03     +8.0574378627877689E-03     +3.2004207639762406E-03
2000154                     +8.2983887671636944E-16     +3.3629028445470288E+00     +3.0877776365005627E-01     -7.2289778157287121E-01     +7.6481539146893731E-04     +6.7929139648560911E-03     +5.5888357746184782E-03
2000409                     +8.2144999999999987E-16     -1.4847079970298549E+00     +2.1292597494263958E+00     +4.2662678597456966E-01     -8.0651389096523599E-03     -5.8017226907445905E-03     -3.3973828320310994E-03
2000145                     +7.5582329262288917E-16     +1.3859823171729895E+00     +1.9507080056303894E+00     +6.2155396673505103E-01     -9.7589064999724379E-03     +3.8187739642763195E-03     +4.2578579143319672E-03
2000308                     +7.2405478852581394E-16     -2.0918990366893455E+00     +1.8325685668436797E+00     +6.2810957154234748E-01     -6.6936727334367544E-03     -7.0275503608549028E-03     -2.4498037189927459E-03
2000121                     +7.0079069220413433E-16     -3.1522919994675727E+00     -2.1780933872521411E+00     -5.9848528585638294E-01     +5.1545194191036829E-03     -5.4243139979750802E-03     -3.3268943155597120E-03
2000349                     +7.0078739271302920E-16     -2.7420563511271379E+00     -1.4820832680321450E+00     -6.2270016645122384E-01     +4.7957800840556447E-03     -6.6345868728410222E-03     -4.3218002236276865E-03
2000144                     +6.9951633549830869E-16     -2.9727236745701893E+00     -1.2841787320445892E+00     -3.1933167640693444E-01     +3.9038074587242691E-03     -6.6579878905436906E-03     -3.3920440383832348E-03
2000216                     +6.9079712474674255E-16     +6.1473123344204506E-01     +2.0198429715676856E+00     +5.4024602658901433E-01     -1.1596840902375513E-02     +5.4946265131873362E-03     -3.5451683331965854E-04
2000059                     +6.3394427275876513E-16     +6.3155916129193501E-01     +2.3370295613339436E+00     +6.0562889439040235E-01     -1.0608527154854875E-02     +3.6580299637245716E-03     +1.2503323075753884E-03
2000259                     +6.2808585539363831E-16     +2.1852847605591594E+00     +2.5997104445454591E+00     +6.9935491080638446E-01     -6.2604493646287234E-03     +4.9728748839762233E-03     +3.5161854067151093E-03
2000566                     +6.2674000000000000E-16     +1.9493009326941169E+00     -2.2621100665843721E+00     -1.2003753258232166E+00     +7.1949838464857828E-03     +6.3124684707631775E-03     +2.1733503787171740E-03
2000747                     +6.2157460662366884E-16     +1.8089401273009664E+00     +8.0622804144725435E-01     -2.9123108071671316E-01     -6.3790517703653403E-03     +1.1783448114974249E-02     +3.9850301272486123E-03
2000008                     +5.8942565297069081E-16     -8.0732295224948292E-01     -2.2009490402583123E+00     -7.7627998870396264E-01     +9.9695076749922763E-03     -1.8483399462449614E-03     -1.7501616654450733E-03
2000093                     +5.6477307179764760E-16     +2.0633428027663809E+00     -1.1353657109295565E+00     -7.3697543726904469E-01     +7.1758820061804196E-03     +7.6498452402937994E-03     +4.6764083671261905E-03
2000054                     +5.6241736501924590E-16     -2.8723133356487702E+00     +2.9606694655187527E-01     -3.2240502383792985E-01     +1.5307965860503437E-03     -8.3189587048235220E-03     -4.8574216160692371E-03
2000405                     +5.5764804768085391E-16     +2.9744253777873566E+00     -5.9593948206758240E-01     +4.2891656283709634E-01     +2.5261164230241432E-03     +7.7398975249516281E-03     +3.4251518054594548E-03
2000047                     +5.5435235615988891E-16     +2.0620156831413530E+00     +1.6461396347098285E+00     +8.7905505696083897E-01     -5.9555954270455354E-03     +7.5499460641382278E-03     +4.1210407947608130E-03
