Spice ID                    GM [au^3/day^2]             x [au]                      y [au]                      z [au]                      vx [au/day]                 vy [au/day]                 vz [au/day]                 
2000094                     +1.2792300000000001E-15     +1.2217068302583245E+00     +2.2309808734943659E+00     +1.3494703595406310E+00     -9.4812711125742948E-03     +3.9693382336793799E-03     +2.5400239649195299E-03     
2000022                     +1.2026244434834601E-15     -1.3556673955844163E+00     -2.6717776333630172E+00     -1.1307891668951808E+00     +8.0150720494538176E-03     -2.5685377453823787E-03     -3.4674753827052106E-03     
2000120                     +1.1889849499520080E-15     +1.3543980782324831E+00     +2.5727326021036450E+00     +1.5473314230283866E+00     -8.4703178432267885E-03     +3.2873782109217454E-03     +1.5387549242560756E-03     
2000185                     +1.1355858944839220E-15     -2.7428664438375763E+00     -1.3379795933371523E+00     +4.2253398260460756E-01     +3.9776878902255649E-03     -8.1803985005235204E-03     -1.0095923483137731E-03     
2000014                     +1.1006456795750681E-15     +2.9734620615350420E+00     +1.8030168230523916E-01     -4.4122715455890060E-01     +1.1407934843380652E-04     +8.3189290202824815E-03     +3.6670471292539193E-03     
2000536                     +1.0975631032822509E-15     -2.7462641572788491E+00     -2.4382864239830706E+00     -6.1598993662767576E-01     +5.6892744348159508E-03     -4.2591355478550311E-03     -4.8554280815244653E-03     
2000009                     +1.0778410042407301E-15     -2.4201558249940405E+00     -1.2455851781553944E-01     +1.8623232569108894E-01     -1.1672661020487949E-03     -9.8401706835892517E-03     -4.5574384104012152E-03     
2000165                     +1.0684599027046931E-15     -1.9182345261699767E+00     -1.8188474260819367E+00     -1.4000649904806133E+00     +7.9590184914099162E-03     -5.9994527962198459E-03     -1.9259145198766972E-03     
2000019                     +1.0356448401311940E-15     -2.4173441243686971E+00     -1.3366645728931854E+00     -5.8113148764223366E-01     +4.7689749401283402E-03     -7.5155519821197688E-03     -2.9796536848775848E-03     
2000130                     +9.9366295459092486E-16     +8.1336840639343355E-01     -2.9302722933686383E+00     -3.9132439835905292E-01     +8.5078715631884960E-03     +4.8177464853135649E-03     -1.5461883571530274E-03     
2000128                     +9.6501295105487519E-16     -1.9461116498457223E+00     +1.8014600706890589E+00     +1.0638042640022189E+00     -7.9752524623910078E-03     -5.7202232269248036E-03     -1.7125691671268199E-03     
2000187                     +9.4193644635953110E-16     +1.5568651887897738E+00     -1.6662502097884180E+00     -1.2242400494900971E+00     +1.0026565155272777E-02     +4.0891721638113597E-03     +1.8342648836323229E-03     
